date,close_afran,close_yaghoot,close_goldMofid,close_nahal,close_sahar,close_agas,close_sarv,close_atlas
2021-02-13,12663,11878,31124.36,9865.96,10908.05,69174.34,6360.23,20902.53
2021-02-14,12670,11885,30422.25,9865.96,10460.16,67565.87,6227.35,20681.29
2021-02-15,12679,11889,29835.98,9442.51,9787.82,66848.65,6194.58,20439.37
2021-02-16,12699,11899,30236.31,9003.23,9680.08,65842.73,6099.01,20134.64
2021-02-17,12711,11909,30045.29,9003.23,9772.85,66009.71,6114.49,19921.05
2021-02-20,12727,11920,29032.26,9003.23,9539.43,65434.32,6005.27,19498.34
2021-02-21,12737,11933,28417.54,9003.23,9150.39,63808.75,5829.6,19225.22
2021-02-22,12743,11936,28592.3,9003.23,9087.55,62962.77,5715.83,18785.31
2021-02-23,12754,11938,28675.62,9003.23,9283.07,64643.66,5923.35,19277.0
2021-02-24,12763,11943,28933.7,9003.23,9405.76,65284.44,5958.85,19530.15
2021-02-27,12780,11966,28497.81,8940.9,9478.58,63078.45,5737.68,19228.1
2021-02-28,12778,11985,28347.43,9003.23,9469.6,62272.7,5642.11,19028.52
2021-03-01,12788,11988,28557.76,9353.47,9501.53,63494.9,5818.68,19291.91
2021-03-02,12799,11981,28042.61,9319.83,9481.57,64171.89,5929.72,19554.4
2021-03-03,12810,11993,28132.02,9407.88,9465.61,62794.78,5781.37,19498.64
2021-03-06,12822,12011,26675.99,9515.72,9589.31,61917.61,5729.49,19168.17
2021-03-07,12823,12010,26597.75,9688.86,9688.06,63035.19,5828.69,19581.23
2021-03-08,12830,12010,26678.02,9519.68,9628.21,64751.3,6023.47,20031.87
2021-03-09,12833,12019,26443.31,9344.56,9555.39,65392.07,6075.35,20615.89
2021-03-10,12845,12027,26712.57,9300.04,9509.51,65094.32,5967.04,20356.08
2021-03-13,12866,12043,27419.76,9219.9,9515.49,66594.15,6125.41,20905.51
2021-03-14,12882,12049,27509.17,9321.81,9506.51,67497.47,6182.75,20976.68
2021-03-15,12889,12062,27021.45,9380.18,9519.48,67977.3,6229.17,20818.45
2021-03-16,12892,12062,27538.64,9348.52,9529.46,71251.58,6458.53,21435.66
2021-03-17,12915,12082,27860.73,9293.12,9737.94,72678.98,6568.66,21718.73
2021-03-27,12971,12142,27996.88,9291.14,9685.07,73165.85,6604.15,21692.69
2021-03-28,12980,12150,28591.29,9204.07,9729.96,72551.23,6590.5,21497.08
2021-03-30,12991,12168,28492.73,9185.27,9668.11,72112.65,6566.84,21656.31
2021-03-31,13001,12173,28465.29,9195.17,9616.24,70960.86,6472.18,21432.88
2021-04-03,13016,12178,27465.48,9194.18,9551.4,69523.4,6256.47,21174.46
2021-04-04,13022,12190,27475.64,9184.28,9493.55,67932.03,6057.15,20777.4
2021-04-05,13026,12205,27470.56,9193.19,9460.63,68903.75,6197.31,20938.41
2021-04-06,13036,12196,27549.81,9197.15,9440.68,68845.41,6269.21,21071.3
2021-04-07,13042,12202,27490.88,9241.67,9433.69,66932.14,6106.29,20742.11
2021-04-10,13056,12222,26759.31,9193.19,9410.75,64766.39,5987.06,20447.12
2021-04-11,13064,12242,26558.12,9206.05,9382.82,64503.84,6014.37,20339.18
2021-04-12,13077,12245,26799.95,9714.58,9679.09,65513.79,6083.54,20448.71
2021-04-13,13078,12251,26612.99,10149.91,9936.45,67739.9,6250.1,20969.92
2021-04-14,13083,12248,26870.06,10448.69,9971.36,67087.05,6126.32,20673.73
