date_afran,close_afran,date_yaghoot,close_yaghoot,date_goldMofid,close_goldMofid,date_nahal,close_nahal,date_sahar,close_sahar,date_agas,close_agas,date_sarv,close_sarv,date_atlas,close_atlas
20210213,12663,20210213,11878,20210213,31124.36,20210213,9865.96,20210213,10908.05,20210213,69174.34,20210213,6360.23,20210213,20902.53
20210214,12670,20210214,11885,20210214,30422.25,20210214,9865.96,20210214,10460.16,20210214,67565.87,20210214,6227.35,20210214,20681.29
20210215,12679,20210215,11889,20210215,29835.98,20210215,9442.51,20210215,9787.82,20210215,66848.65,20210215,6194.58,20210215,20439.37
20210216,12699,20210216,11899,20210216,30236.31,20210216,9003.23,20210216,9680.08,20210216,65842.73,20210216,6099.01,20210216,20134.64
20210217,12711,20210217,11909,20210217,30045.29,20210217,9003.23,20210217,9772.85,20210217,66009.71,20210217,6114.49,20210217,19921.05
20210220,12727,20210220,11920,20210220,29032.26,20210220,9003.23,20210220,9539.43,20210220,65434.32,20210220,6005.27,20210220,19498.34
20210221,12737,20210221,11933,20210221,28417.54,20210221,9003.23,20210221,9150.39,20210221,63808.75,20210221,5829.6,20210221,19225.22
20210222,12743,20210222,11936,20210222,28592.3,20210222,9003.23,20210222,9087.55,20210222,62962.77,20210222,5715.83,20210222,18785.31
20210223,12754,20210223,11938,20210223,28675.62,20210223,9003.23,20210223,9283.07,20210223,64643.66,20210223,5923.35,20210223,19277
20210224,12763,20210224,11943,20210224,28933.7,20210224,9003.23,20210224,9405.76,20210224,65284.44,20210224,5958.85,20210224,19530.15
20210227,12780,20210227,11966,20210227,28497.81,20210227,8940.9,20210227,9478.58,20210227,63078.45,20210227,5737.68,20210227,19228.1
20210228,12778,20210228,11985,20210228,28347.43,20210228,9003.23,20210228,9469.6,20210228,62272.7,20210228,5642.11,20210228,19028.52
20210301,12788,20210301,11988,20210301,28557.76,20210301,9353.47,20210301,9501.53,20210301,63494.9,20210301,5818.68,20210301,19291.91
20210302,12799,20210302,11981,20210302,28042.61,20210302,9319.83,20210302,9481.57,20210302,64171.89,20210302,5929.72,20210302,19554.4
20210303,12810,20210303,11993,20210303,28132.02,20210303,9407.88,20210303,9465.61,20210303,62794.78,20210303,5781.37,20210303,19498.64
20210306,12822,20210306,12011,20210306,26675.99,20210306,9515.72,20210306,9589.31,20210306,61917.61,20210306,5729.49,20210306,19168.17
20210307,12823,20210307,12010,20210307,26597.75,20210307,9688.86,20210307,9688.06,20210307,63035.19,20210307,5828.69,20210307,19581.23
20210308,12830,20210308,12010,20210308,26678.02,20210308,9519.68,20210308,9628.21,20210308,64751.3,20210308,6023.47,20210308,20031.87
20210309,12833,20210309,12019,20210309,26443.31,20210309,9344.56,20210309,9555.39,20210309,65392.07,20210309,6075.35,20210309,20615.89
20210310,12845,20210310,12027,20210310,26712.57,20210310,9300.04,20210310,9509.51,20210310,65094.32,20210310,5967.04,20210310,20356.08
20210313,12866,20210313,12043,20210313,27419.76,20210313,9219.9,20210313,9515.49,20210313,66594.15,20210313,6125.41,20210313,20905.51
20210314,12882,20210314,12049,20210314,27509.17,20210314,9321.81,20210314,9506.51,20210314,67497.47,20210314,6182.75,20210314,20976.68
20210315,12889,20210315,12062,20210315,27021.45,20210315,9380.18,20210315,9519.48,20210315,67977.3,20210315,6229.17,20210315,20818.45
20210316,12892,20210316,12062,20210316,27538.64,20210316,9348.52,20210316,9529.46,20210316,71251.58,20210316,6458.53,20210316,21435.66
20210317,12915,20210317,12082,20210317,27860.73,20210317,9293.12,20210317,9737.94,20210317,72678.98,20210317,6568.66,20210317,21718.73
20210327,12971,20210327,12142,20210327,27996.88,20210327,9291.14,20210327,9685.07,20210327,73165.85,20210327,6604.15,20210327,21692.69
20210328,12980,20210328,12150,20210328,28591.29,20210328,9204.07,20210328,9729.96,20210328,72551.23,20210328,6590.5,20210328,21497.08
20210330,12991,20210330,12168,20210330,28492.73,20210330,9185.27,20210330,9668.11,20210330,72112.65,20210330,6566.84,20210330,21656.31
20210331,13001,20210331,12173,20210331,28465.29,20210331,9195.17,20210331,9616.24,20210331,70960.86,20210331,6472.18,20210331,21432.88
20210403,13016,20210403,12178,20210403,27465.48,20210403,9194.18,20210403,9551.4,20210403,69523.4,20210403,6256.47,20210403,21174.46
20210404,13022,20210404,12190,20210404,27475.64,20210404,9184.28,20210404,9493.55,20210404,67932.03,20210404,6057.15,20210404,20777.4
20210405,13026,20210405,12205,20210405,27470.56,20210405,9193.19,20210405,9460.63,20210405,68903.75,20210405,6197.31,20210405,20938.41
20210406,13036,20210406,12196,20210406,27549.81,20210406,9197.15,20210406,9440.68,20210406,68845.41,20210406,6269.21,20210406,21071.3
20210407,13042,20210407,12202,20210407,27490.88,20210407,9241.67,20210407,9433.69,20210407,66932.14,20210407,6106.29,20210407,20742.11
20210410,13056,20210410,12222,20210410,26759.31,20210410,9193.19,20210410,9410.75,20210410,64766.39,20210410,5987.06,20210410,20447.12
20210411,13064,20210411,12242,20210411,26558.12,20210411,9206.05,20210411,9382.82,20210411,64503.84,20210411,6014.37,20210411,20339.18
20210412,13077,20210412,12245,20210412,26799.95,20210412,9714.58,20210412,9679.09,20210412,65513.79,20210412,6083.54,20210412,20448.71
20210413,13078,20210413,12251,20210413,26612.99,20210413,10149.91,20210413,9936.45,20210413,67739.9,20210413,6250.1,20210413,20969.92
20210414,13083,20210414,12248,20210414,26870.06,20210414,10448.69,20210414,9971.36,20210414,67087.05,20210414,6126.32,20210414,20673.73
20210417,13109,20210417,12267,20210417,26915.78,20210417,10265.66,20210417,9995.31,20210417,64695.97,20210417,5919.71,20210417,20405.18
20210418,13118,20210418,12282,20210418,26574.38,20210418,10087.58,20210418,9795.8,20210418,62944.66,20210418,5719.47,20210418,20269.31
20210419,13132,20210419,12292,20210419,26066.35,20210419,10456.61,20210419,9920.49,20210419,64577.27,20210419,5856.91,20210419,20208.78
20210420,13141,20210420,12292,20210420,25451.62,20210420,10751.44,20210420,10043.19,20210420,65959.41,20210420,5899.69,20210420,20320.9
20210421,13147,20210421,12305,20210421,25556.28,20210421,10650.53,20210421,9984.33,20210421,64253.37,20210421,5801.39,20210421,20133.65
20210424,13161,20210424,12307,20210424,25306.32,20210424,10427.92,20210424,9838.69,20210424,63761.47,20210424,5750.42,20210424,19902.26
20210425,13166,20210425,12327,20210425,25659.92,20210425,10000.51,20210425,9679.09,20210425,62529.21,20210425,5647.57,20210425,19682.51
20210426,13172,20210426,12326,20210426,25309.37,20210426,9775.93,20210426,9568.36,20210426,63842.95,20210426,5749.51,20210426,19902.66
20210427,13179,20210427,12308,20210427,25260.6,20210427,9709.64,20210427,9577.34,20210427,65419.23,20210427,5880.57,20210427,20218.13
20210428,13186,20210428,12313,20210428,25306.32,20210428,9445.48,20210428,9508.51,20210428,66231.01,20210428,5907.88,20210428,20365.03
20210501,13208,20210501,12346,20210501,24596.09,20210501,9269.37,20210501,9420.72,20210501,64773.43,20210501,5778.64,20210501,20003.05
20210502,13220,20210502,12355,20210502,23963.07,20210502,9090.3,20210502,9162.36,20210502,63438.57,20210502,5675.79,20210502,19729.52
20210503,13234,20210503,12351,20210503,23999.65,20210503,8917.16,20210503,9039.67,20210503,63033.18,20210503,5616.63,20210503,19518.52
20210505,13248,20210505,12361,20210505,23460.12,20210505,8945.85,20210505,8975.82,20210505,63697.09,20210505,5658.49,20210505,19635.4
20210508,13274,20210508,12344,20210508,24118.53,20210508,8913.2,20210508,8896.02,20210508,62647.91,20210508,5520.15,20210508,19629.04
20210509,13285,20210509,12350,20210509,24369.5,20210509,8739.07,20210509,8677.56,20210509,61494.12,20210509,5435.5,20210509,19104.75
20210510,13287,20210510,12350,20210510,25415.04,20210510,8809.32,20210510,8619.7,20210510,62681.11,20210510,5536.53,20210510,19001.79
20210511,13287,20210511,12351,20210511,26050.09,20210511,8839,20210511,8444.14,20210511,64385.14,20210511,5713.1,20210511,19400.64
20210512,13294,20210512,12353,20210512,25905.81,20210512,8698.51,20210512,8385.28,20210512,64308.69,20210512,5747.69,20210512,19632.42
20210515,13313,20210515,12355,20210515,26519.51,20210515,8653.98,20210515,8418.2,20210515,64975.62,20210515,5784.1,20210515,19867.28
20210516,13321,20210516,12355,20210516,26547.96,20210516,8540.21,20210516,8399.25,20210516,64716.09,20210516,5797.75,20210516,19882.29
20210517,13328,20210517,12355,20210517,25788.96,20210517,8617.38,20210517,8402.24,20210517,63598.51,20210517,5719.47,20210517,19727.44
20210518,13342,20210518,12356,20210518,26306.14,20210518,8469.96,20210518,8409.22,20210518,64282.54,20210518,5660.31,20210518,19702.29
20210519,13343,20210519,12358,20210519,25588.79,20210519,8551.09,20210519,8292.51,20210519,62902.41,20210519,5479.19,20210519,19457.19
20210522,13355,20210522,12368,20210522,25546.12,20210522,8387.85,20210522,8240.64,20210522,61603.76,20210522,5298.07,20210522,19079.41
20210523,13366,20210523,12370,20210523,25856.02,20210523,8466.99,20210523,8108.97,20210523,60318.19,20210523,5099.65,20210523,18690.79
20210524,13376,20210524,12363,20210524,26440.26,20210524,8435.33,20210524,8138.89,20210524,60095.88,20210524,5064.16,20210524,18590.9
20210525,13381,20210525,12367,20210525,26491.06,20210525,8401.7,20210525,8281.54,20210525,61377.43,20210525,5194.31,20210525,18871.29
20210526,13389,20210526,12374,20210526,27126.11,20210526,8323.54,20210526,8200.74,20210526,61369.38,20210526,5188.85,20210526,19070.36
20210529,13405,20210529,12382,20210529,28335.24,20210529,8419.5,20210529,8461.1,20210529,64485.73,20210529,5459.17,20210529,19746.82
20210530,13414,20210530,12387,20210530,28112.72,20210530,8480.85,20210530,8530.92,20210530,65784.38,20210530,5541.08,20210530,19962
20210531,13422,20210531,12394,20210531,27347.61,20210531,8299.79,20210531,8422.19,20210531,64693.96,20210531,5408.2,20210531,19525.67
20210601,13433,20210601,12401,20210601,27699.18,20210601,8414.56,20210601,8488.03,20210601,64069.28,20210601,5363.6,20210601,19413.86
20210602,13442,20210602,12410,20210602,28016.19,20210602,8417.53,20210602,8611.72,20210602,65027.93,20210602,5483.74,20210602,19749.8
20210607,13477,20210607,12434,20210607,27911.53,20210607,8420.49,20210607,8554.86,20210607,65518.82,20210607,5584.77,20210607,19709.35
