alpha,beta,seed,mean_daily_return,std_daily_return,sharpe_rf0,cumulative_return_pct,max_drawdown_pct,avg_wt_equity,avg_wt_gold,avg_wt_fixed_income,sharpe_rf20
0.1,0.9,7,0.0015,0.0039,0.3923,28.0606,-1.618,0.639,0.1932,0.1678,0.1881
0.1,0.9,42,0.0015,0.004,0.3776,27.1763,-1.6395,0.631,0.212,0.157,0.1834
0.3,0.7,7,0.0016,0.004,0.3992,28.7744,-1.6387,0.627,0.2145,0.1585,0.2084
0.3,0.7,42,0.0016,0.0039,0.4016,28.5578,-1.6417,0.636,0.2085,0.1555,0.2138
0.5,0.5,7,0.0015,0.004,0.3841,27.8674,-1.647,0.6118,0.227,0.1612,0.1834
0.5,0.5,42,0.0016,0.0039,0.4014,28.7749,-1.6167,0.623,0.2162,0.1608,0.2138
0.7,0.3,7,0.0019,0.0092,0.2095,35.9153,-5.8553,0.3108,0.4515,0.2378,0.1232
0.7,0.3,42,0.002,0.0091,0.2209,37.8269,-5.7386,0.298,0.4555,0.2465,0.1356
0.9,0.1,7,0.002,0.0094,0.2124,37.4477,-6.0819,0.2958,0.4912,0.213,0.1312
0.9,0.1,42,0.0019,0.0093,0.2081,36.1284,-6.0255,0.2962,0.4822,0.2215,0.1219
