config,population,generations,init_mut,high_mut,base_seed,window_index,best_fitness,generations_run,runtime_s
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,0,0.9,18,1.405944790999996
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,1,0.9,18,1.377334624999996
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,2,0.8054257781222391,50,1.6585551669999958
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,3,0.82616129794159,50,1.7979298749999941
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,4,0.8171944358915156,30,1.5501491669999936
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,5,0.8,18,1.362713333000002
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,6,0.8177965158656453,22,1.415447333000003
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,7,0.8161350104411029,30,1.5141958329999952
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,8,0.8111623531152898,18,1.3746703329999974
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,9,0.9,18,1.380844291999999
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,10,0.9,18,1.3651338330000016
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,11,0.8474257894731141,50,1.8756151669999994
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,12,0.8690301471066139,46,1.8282531249999963
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,13,0.8125127864665282,47,1.678222208000001
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,14,0.8308866884738753,19,1.390488750000003
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,15,0.822723792187805,24,1.4223912909999967
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,16,0.9,18,1.339126125000007
"pop=50,gen=50,mut=0.05",50,50,0.05,0.1,0,17,0.9,18,1.4038965000000019
